comment_url,html_url,author_login,author_url,created_at,updated_at,comment_body
https://api.github.com/repos/OptimalBits/bull/issues/comments/2282751009,https://github.com/OptimalBits/bull/pull/2744#issuecomment-2282751009,stale[bot],https://github.com/apps/stale,2024-08-11T12:51:11Z,2024-08-11T12:51:11Z,"This issue has been automatically marked as stale because it has not had recent activity. It will be closed if no further activity occurs. Thank you for your contributions.
"
https://api.github.com/repos/OptimalBits/bull/issues/comments/2282754707,https://github.com/OptimalBits/bull/pull/2744#issuecomment-2282754707,felixmosh,https://github.com/felixmosh,2024-08-11T13:04:18Z,2024-08-11T13:04:18Z,?
https://api.github.com/repos/OptimalBits/bull/issues/comments/2131189580,https://github.com/OptimalBits/bull/pull/2716#issuecomment-2131189580,stale[bot],https://github.com/apps/stale,2024-05-25T10:20:54Z,2024-05-25T10:20:54Z,"This issue has been automatically marked as stale because it has not had recent activity. It will be closed if no further activity occurs. Thank you for your contributions.
"
https://api.github.com/repos/OptimalBits/bull/issues/comments/2132271176,https://github.com/OptimalBits/bull/pull/2716#issuecomment-2132271176,martinslota,https://github.com/martinslota,2024-05-26T16:02:12Z,2024-05-26T16:02:12Z,"I'd love to keep this pull request alive because the bug it fixes is affecting our production deployments and it generates quite a bit of noise.

@manast I apologize for cold-tagging you here - I'd appreciate any pointers or suggestions regarding how I could take this pull request further."
https://api.github.com/repos/OptimalBits/bull/issues/comments/2252158990,https://github.com/OptimalBits/bull/pull/2716#issuecomment-2252158990,stale[bot],https://github.com/apps/stale,2024-07-26T07:40:37Z,2024-07-26T07:40:37Z,"This issue has been automatically marked as stale because it has not had recent activity. It will be closed if no further activity occurs. Thank you for your contributions.
"
https://api.github.com/repos/OptimalBits/bull/issues/comments/2256953828,https://github.com/OptimalBits/bull/pull/2716#issuecomment-2256953828,martinslota,https://github.com/martinslota,2024-07-29T20:57:19Z,2024-07-29T20:57:19Z,"I’m still hopeful that this bug fix will eventually get some attention from a maintainer.

In the meantime, I will make sure to deploy the fix as part of our code to gain additional confidence. I will report again when it has been out for a while."
https://api.github.com/repos/OptimalBits/bull/issues/comments/2293756310,https://github.com/OptimalBits/bull/pull/2716#issuecomment-2293756310,manast,https://github.com/manast,2024-08-16T15:54:00Z,2024-08-16T15:54:00Z,"@martinslota have you checked how connections are handled in BullMQ? I have spent quite a lot of time trying to iron out all connection issues, including workarounds for ioredis bugs when blocking commands gets disconnected: https://github.com/taskforcesh/bullmq/blob/master/src/classes/redis-connection.ts"
https://api.github.com/repos/OptimalBits/bull/issues/comments/2295923065,https://github.com/OptimalBits/bull/pull/2716#issuecomment-2295923065,martinslota,https://github.com/martinslota,2024-08-19T08:04:21Z,2024-08-19T08:04:21Z,"@manast No, I haven't - thank you for the reference! 🙇 

We have just adopted this small fix in our code and it will be going to production today.

Would it be possible to backport the connection fixes to Bull? Or would your recommendation be to migrate to BullMQ? We have not explored what it would take to do but I think having fewer random connection errors could make it worth the effort."
https://api.github.com/repos/OptimalBits/bull/issues/comments/2297004771,https://github.com/OptimalBits/bull/pull/2716#issuecomment-2297004771,manast,https://github.com/manast,2024-08-19T16:47:37Z,2024-08-19T16:47:37Z,"> Would it be possible to backport the connection fixes to Bull? Or would your recommendation be to migrate to BullMQ? We have not explored what it would take to do but I think having fewer random connection errors could make it worth the effort.

Actually no as the way connections are handled in Bull is quite different so it is not trivial to do."
https://api.github.com/repos/OptimalBits/bull/issues/comments/878275226,https://github.com/OptimalBits/bull/pull/1897#issuecomment-878275226,stale[bot],https://github.com/apps/stale,2021-07-12T13:22:17Z,2021-07-12T13:22:17Z,"This issue has been automatically marked as stale because it has not had recent activity. It will be closed if no further activity occurs. Thank you for your contributions.
"
https://api.github.com/repos/OptimalBits/bull/issues/comments/520167548,https://github.com/OptimalBits/bull/pull/1422#issuecomment-520167548,coveralls,https://github.com/coveralls,2019-08-10T17:45:10Z,2019-11-16T11:03:12Z,"
[![Coverage Status](https://coveralls.io/builds/27030257/badge)](https://coveralls.io/builds/27030257)

Coverage increased (+0.7%) to 93.777% when pulling **ae0e227ff9a3d52df35c6361f94057d4b1777f49 on HugoPoi:develop** into **01f815409ffce3b84ed7a9c9ff26367692fc23ee on OptimalBits:develop**.
"
https://api.github.com/repos/OptimalBits/bull/issues/comments/550986646,https://github.com/OptimalBits/bull/pull/1422#issuecomment-550986646,Eywek,https://github.com/Eywek,2019-11-07T09:00:42Z,2019-11-07T09:00:42Z,Any news on this?
https://api.github.com/repos/OptimalBits/bull/issues/comments/553371041,https://github.com/OptimalBits/bull/pull/1422#issuecomment-553371041,HugoPoi,https://github.com/HugoPoi,2019-11-13T11:53:16Z,2019-11-13T11:53:16Z,I need someone to review it. And it might be useful to have #1498 with this.
https://api.github.com/repos/OptimalBits/bull/issues/comments/563355296,https://github.com/OptimalBits/bull/pull/1422#issuecomment-563355296,oskarstrasburger,https://github.com/oskarstrasburger,2019-12-09T17:55:07Z,2019-12-09T17:55:07Z,Any news @manast ?
https://api.github.com/repos/OptimalBits/bull/issues/comments/566881367,https://github.com/OptimalBits/bull/pull/1422#issuecomment-566881367,faller,https://github.com/faller,2019-12-18T06:02:24Z,2019-12-18T06:02:24Z,Any news?
https://api.github.com/repos/OptimalBits/bull/issues/comments/602023908,https://github.com/OptimalBits/bull/pull/1422#issuecomment-602023908,manast,https://github.com/manast,2020-03-21T10:24:09Z,2020-03-21T10:24:09Z,I would merge this but my last comment needs to be addressed!
